"","topic1","topic2","topic3","topic4","topic5","project","projecttype"
"lijwiki",0.295711917558134,0.627039094133273,0.00402178027183416,0.0730918407484933,0.000135367288265836,"lijwiki","Wikipedia"
"liwiki",0.168548798326157,0.782479736632532,0.000663505253962084,0.048252896910555,5.50628767932311e-05,"liwiki","Wikipedia"
"liwikiquote",0.997894736842105,0.000526315789473954,0.000526315789473684,0.000526315789473686,0.000526315789473692,"liwikiquote","Wikiquote"
"lmowiki",0.0082682909223505,0.98164091042595,0.000938068476693628,0.00434689606946913,0.00480583410553701,"lmowiki","Wikipedia"
"lnwiki",0.987486640013619,0.00949967809159729,0.00190973966766282,0.000964158288643258,0.000139783938477817,"lnwiki","Wikipedia"
"lowiki",0.994625759967155,0.00203372381047251,0.00180879850411113,0.0013570900478623,0.000174627670399379,"lowiki","Wikipedia"
"lrcwiki",0.96446778965543,0.0323534394109372,0.000859378796372774,0.00133650861970266,0.000982883517557829,"lrcwiki","Wikipedia"
"ltgwiki",0.605319166502102,0.234524853959602,0.158910804582643,0.000930969451772251,0.000314205503880569,"ltgwiki","Wikipedia"
"ltwiki",0.000532072707196852,0.45675953712094,0.541992372557365,4.98846979189496e-05,0.000666132916579586,"ltwiki","Wikipedia"
"ltwikibooks",0.997894736842105,0.000526315789473783,0.000526315789473684,0.000526315789473684,0.000526315789473686,"ltwikibooks","Wikibooks"
"ltwikiquote",0.743253605357425,0.232030900463917,0.00923127268081716,0.0143910836340701,0.00109313786377055,"ltwikiquote","Wikiquote"
"lvwiki",0.0603672504151652,0.611511519760286,0.323654963451954,0.00324638972693873,0.00121987664565634,"lvwiki","Wikipedia"
"maiwiki",0.99730272998108,0.00122327139225047,0.000925298782274571,0.000439478882983419,0.000109220961410975,"maiwiki","Wikipedia"
"map_bmswiki",0.990898887728748,0.00179455817300132,0.00188157439499176,0.00520524447205623,0.000219735231202637,"map_bmswiki","Wikipedia"
"mdfwiki",0.132887248320236,0.864860623468563,0.00173160078656187,0.000350736318143149,0.000169791106495463,"mdfwiki","Wikipedia"
"metawiki",0.0667763430515919,0.0376256376570029,0.894633424078209,0.000172576335140164,0.000792018878056502,"metawiki","Other"
"mgwiki",0.98518260057267,0.00471346676102703,0.00529395769556007,0.0044368460279565,0.00037312894278579,"mgwiki","Wikipedia"
"mhrwiki",0.379207343116001,0.31574511605781,0.304599070340903,0.000324317267333644,0.000124153217951585,"mhrwiki","Wikipedia"
"mhwiki",0.997894736842105,0.000526315789473877,0.000526315789473911,0.000526315789473691,0.000526315789473708,"mhwiki","Wikipedia"
"minwiki",0.944813234969069,0.00516993101842716,0.00944973295228525,0.0116189425840426,0.0289481584761759,"minwiki","Wikipedia"
"miwiki",0.247996838912931,0.0153324574969723,0.734859371320331,0.00113024391422732,0.000681088355538641,"miwiki","Wikipedia"
"mkwiki",0.0226111650483869,0.881804477918402,0.0740906393367609,0.0185442625092354,0.00294945518721523,"mkwiki","Wikipedia"
"mlwiki",0.535719415896377,0.00884974244742853,0.452382879439064,0.000103398359292288,0.00294456385783775,"mlwiki","Wikipedia"
"mlwikiquote",0.911928205812506,0.068340036163778,0.0127550156743348,0.00477792558460215,0.00219881676477918,"mlwikiquote","Wikiquote"
"mnwiki",0.0851900382754338,0.736916723901538,0.175276908748331,0.000337042014955117,0.00227928705974227,"mnwiki","Wikipedia"
"mowiki",0.971365358741181,0.0240367514831092,0.00287923458743249,0.000518769350685693,0.00119988583759154,"mowiki","Wikipedia"
"mrjwiki",0.059609671654318,0.450716901061458,0.487971646945735,0.00170043721109291,1.34312739585069e-06,"mrjwiki","Wikipedia"
"mrwiki",0.99769864209283,0.00122666987500923,0.00083202370166596,0.000200339006713016,4.23253237823886e-05,"mrwiki","Wikipedia"
"mswiki",0.554484507098987,0.00231690240906357,0.440313693842597,0.000531061208822974,0.00235383544052942,"mswiki","Wikipedia"
"mtwiki",0.328594532596083,0.0628803506371764,0.538061460950875,0.0701182302912555,0.000345425524609736,"mtwiki","Wikipedia"
"mwlwiki",0.650762179973321,0.324524200080745,0.0093391173829835,0.0142358816675581,0.00113862089539194,"mwlwiki","Wikipedia"
"myvwiki",0.00201877856251257,0.997259816680238,0.000346429332183532,0.000321242367606633,5.37330574589221e-05,"myvwiki","Wikipedia"
"mywiki",0.995324493158292,0.000843543064777211,0.00374197506504014,4.42626917968971e-05,4.57260200935437e-05,"mywiki","Wikipedia"
"mznwiki",0.589054584589776,0.408618089345904,0.00179409805651442,0.000361340206354938,0.000171887801450686,"mznwiki","Wikipedia"
"nahwiki",0.98728555517318,0.00555953957520157,0.00686097406615728,0.000194951058635786,9.89801268253848e-05,"nahwiki","Wikipedia"
"napwiki",0.234311241106676,0.753930896023699,0.00074458830146581,0.00353957439444353,0.00747370017371565,"napwiki","Wikipedia"
"nawiki",0.795558049686834,0.0769825433809836,0.12534406472666,0.000916085845964758,0.00119925635955735,"nawiki","Wikipedia"
"nds_nlwiki",0.0412117077559411,0.956401081677965,0.000488561615004249,0.00182754190328039,7.11070478095264e-05,"nds_nlwiki","Wikipedia"
"ndswiki",0.036787596653459,0.773352652059791,0.168507519463747,0.0169229525794715,0.00442927924353105,"ndswiki","Wikipedia"
"newiki",0.637150164934423,0.263224045600833,0.0960969094619953,2.55896968225036e-05,0.0035032903059259,"newiki","Wikipedia"
"newwiki",0.994695738322918,0.00338697115610745,0.0010873405811432,0.000694860528810692,0.000135089411020605,"newwiki","Wikipedia"
"nlwiki",0.00121172820197214,0.266450453783997,0.728337508143871,0.00312581898990472,0.000874490880255339,"nlwiki","Wikipedia"
"nlwikibooks",0.397947199608241,0.587360788124986,0.0118670929571434,0.000528243676260701,0.00229667563336832,"nlwikibooks","Wikibooks"
"nlwikiquote",0.000526315789474474,0.997894736842105,0.000526315789473684,0.000526315789473692,0.000526315789473715,"nlwikiquote","Wikiquote"
"nnwiki",0.000285592098198018,0.185250703173652,0.0635890180176223,0.743951634884813,0.00692305182571507,"nnwiki","Wikipedia"
"nnwikiquote",0.544169194751724,0.430354869009979,0.00267040825596359,0.0222369150903789,0.00056861289195409,"nnwikiquote","Wikiquote"
"novwiki",0.754826933935793,0.0755547034561647,0.0347014689322601,0.134246488524351,0.000670405151431335,"novwiki","Wikipedia"
"nowiki",0.000699318782427363,0.411146822024376,0.583312278975883,0.00358347604386331,0.00125810417345061,"nowiki","Wikipedia"
"nowikibooks",0.376388057622056,0.013685313391617,0.000175794868658078,0.609294450764604,0.000456383353065173,"nowikibooks","Wikibooks"
"nowikinews",0.000526315789473923,0.000526315789473705,0.000526315789473684,0.997894736842105,0.000526315789473685,"nowikinews","Wikinews"
"nrmwiki",0.525161972077435,0.46837795229287,0.00223246328482734,0.00397984925086968,0.000247763093997658,"nrmwiki","Wikipedia"
"nsowiki",0.993418524424211,0.00235377278174387,0.00331914886115313,0.00064669616911106,0.000261857763780645,"nsowiki","Wikipedia"
"nvwiki",0.335282968687978,0.205691777062316,0.458566127095357,0.000454020053997174,5.10710035142698e-06,"nvwiki","Wikipedia"
"nywiki",0.974987883464716,0.00612892614754952,0.0142323892518541,0.0032465659706679,0.00140423516521211,"nywiki","Wikipedia"
"ocwiki",0.275687758996327,0.449829085922515,0.23840361282247,0.0338038400211983,0.00227570223748948,"ocwiki","Wikipedia"
"olowiki",0.00093861890758264,0.998308758614494,0.000606610670559987,7.25760333139108e-05,7.34357740496724e-05,"olowiki","Wikipedia"
"omwiki",0.904154587663754,0.0165739403657537,0.00441860691555284,0.0741908688231606,0.000661996231778544,"omwiki","Wikipedia"
"orwiki",0.550573176180313,0.000690920030579886,0.423472646952376,0.0251239795030071,0.000139277333724117,"orwiki","Wikipedia"
"oswiki",0.0015499739220285,0.998079454935095,0.000258195013345102,7.43308497377568e-05,3.80452797931104e-05,"oswiki","Wikipedia"
"pamwiki",0.995151778962784,0.00254741976494256,0.00116328643984225,0.00103778287233825,9.97319600929262e-05,"pamwiki","Wikipedia"
"papwiki",0.825908949473061,0.0255181244727274,0.143020088872452,0.00342430828035307,0.0021285289014066,"papwiki","Wikipedia"
"pawiki",0.994558412184296,0.000782390238051626,0.000559890854223354,0.000645682775973312,0.00345362394745562,"pawiki","Wikipedia"
"pcdwiki",0.00137280598859182,0.997631762922378,0.000552140696572208,0.000397761953322568,4.55284391354109e-05,"pcdwiki","Wikipedia"
"pdcwiki",0.820102958675929,0.156927159501488,0.019934005374609,0.00231380654435537,0.000722069903618898,"pdcwiki","Wikipedia"
"pflwiki",0.162391439381356,0.660964943657238,0.00355943344674967,0.172571514352264,0.000512669162391831,"pflwiki","Wikipedia"
"pihwiki",0.136910263279328,0.0348704558873438,0.446410458777682,0.371654757619688,0.0101540644359579,"pihwiki","Wikipedia"
"piwiki",0.0347706702324238,0.471130753638739,0.0170248151377908,0.471228328346674,0.00584543264437266,"piwiki","Wikipedia"
"plwiki",0.00501810079951199,0.264714819579665,0.693851490085785,0.0356049095807474,0.000810679954290846,"plwiki","Wikipedia"
"plwikibooks",0.997894736842105,0.000526315789473973,0.000526315789473712,0.000526315789474149,0.000526315789473692,"plwikibooks","Wikibooks"
"plwikiquote",0.219893165196929,0.774788917872827,0.000480886025122174,0.000255551226679241,0.00458147967844292,"plwikiquote","Wikiquote"
"plwikisource",0.000526315789473685,0.000526315789474002,0.997894736842105,0.000526315789473713,0.000526315789473794,"plwikisource","Wikisource"
"pmswiki",0.000217311311728669,0.997449377913033,0.000704903268611745,4.96755596787378e-05,0.00157873194694816,"pmswiki","Wikipedia"
"pnbwiki",0.210294178061491,0.127034072898859,0.662580652089919,8.84275493467069e-05,2.66940038378056e-06,"pnbwiki","Wikipedia"
"pntwiki",0.997894736842105,0.000526315789473882,0.000526315789473684,0.000526315789473686,0.00052631578947369,"pntwiki","Wikipedia"
"pswiki",0.39823731804903,0.548658613162812,0.0503551685018311,0.0026792251959009,6.96750904258449e-05,"pswiki","Wikipedia"
"ptwiki",0.00246642957445832,0.287670370733665,0.698504985533885,0.00725913921283408,0.00409907494515764,"ptwiki","Wikipedia"
"ptwikibooks",0.93715524942239,0.0334617444802802,0.00149758924738412,0.0269500632744698,0.000935353575476395,"ptwikibooks","Wikibooks"
"ptwikiquote",0.988298515060894,0.00665376971283465,0.000713345662071397,0.00407473638143336,0.000259633182766688,"ptwikiquote","Wikiquote"
"quwiki",0.361120782551612,0.412824089597445,0.224135612544463,0.000206995746862264,0.00171251955961751,"quwiki","Wikipedia"
"rmwiki",0.462098113860145,0.494582150520796,0.0175550342416768,0.0251013489040648,0.000663352473317343,"rmwiki","Wikipedia"
"rnwiki",0.696511871890521,0.00386583266933099,0.297978886706938,0.000645367283208388,0.000998041450001104,"rnwiki","Wikipedia"
"roa_rupwiki",0.629744949805646,0.355593737277938,0.000453551058151057,0.000626566298583476,0.0135811955596814,"roa_rupwiki","Wikipedia"
"roa_tarawiki",0.0543304400660843,0.899349300771658,0.0202974211811793,0.0253605419177014,0.000662296063377334,"roa_tarawiki","Wikipedia"
"rowiki",0.0537274885182163,0.56594059313718,0.234239116544595,0.144899735816463,0.00119306598354508,"rowiki","Wikipedia"
"rowikibooks",0.997894736842105,0.000526315789473973,0.000526315789473712,0.000526315789474149,0.000526315789473692,"rowikibooks","Wikibooks"
"ruewiki",0.00140595355014161,0.997479959820282,0.000363098843850279,0.000706909058594216,4.40787271321417e-05,"ruewiki","Wikipedia"
"ruwiki",0.0169554862877526,0.280910362658276,0.697943566984824,0.00333832799233857,0.000852256076808546,"ruwiki","Wikipedia"
"ruwikibooks",0.15303229173251,0.828298559144709,0.011536922890138,0.00289804799270085,0.00423417823994256,"ruwikibooks","Wikibooks"
"ruwikinews",0.912375666292684,0.059962872007445,0.00670577448875913,0.0199136208565038,0.00104206635460824,"ruwikinews","Wikinews"
"ruwikiquote",0.00411457527267953,0.989769164105953,0.000410932436894863,0.000412118329695153,0.00529320985477709,"ruwikiquote","Wikiquote"
"ruwikisource",0.00303941011693896,0.994699492824833,0.00150239063712251,0.00069460979163229,6.40966294730562e-05,"ruwikisource","Wikisource"
"rwwiki",0.987250202210739,0.00668015535947437,0.00551463790018689,0.000297054156905225,0.000257950372693943,"rwwiki","Wikipedia"
"sahwiki",0.00136622239041746,0.919010327833184,0.0780630238626123,0.00150632577431129,5.41001394749022e-05,"sahwiki","Wikipedia"
"sahwikisource",0.997894736842104,0.00052631578947428,0.00052631578947431,0.000526315789473705,0.00052631578947376,"sahwikisource","Wikisource"
"sawiki",0.998238701415619,0.000832872452222917,0.0004632022153214,0.000408253829496706,5.69700873398328e-05,"sawiki","Wikipedia"
"sawikisource",0.997894736842105,0.000526315789473964,0.000526315789473689,0.000526315789473698,0.000526315789473693,"sawikisource","Wikisource"
"scnwiki",0.558343784677087,0.417591405996395,0.000998736016883121,0.0189990037961335,0.00406706951350157,"scnwiki","Wikipedia"
"scowiki",0.232625468567243,0.746531983026001,0.00370624075542841,0.014004969045005,0.00313133860632332,"scowiki","Wikipedia"
"scwiki",0.35142802960721,0.634163705478969,0.00142405534387886,9.90932279205552e-05,0.0128851163420215,"scwiki","Wikipedia"
"sdwiki",0.990346025037837,0.00689130187490098,0.00229061943029975,0.000302748331744571,0.000169305325218158,"sdwiki","Wikipedia"
"sewiki",0.000634699082753355,0.998746107541225,0.000491211599705011,7.62003304500279e-05,5.17814458670651e-05,"sewiki","Wikipedia"
"sgwiki",0.97262938471692,0.0171422308303303,0.00798964067597853,0.00107282751026454,0.00116591626650676,"sgwiki","Wikipedia"
"shwiki",0.139936692600706,0.532316956085354,0.323949745824243,0.00122814931046075,0.00256845617923756,"shwiki","Wikipedia"
"simplewiki",0.187390955453064,0.250415285837111,0.550717821691878,0.00926480513328052,0.00221113188466648,"simplewiki","Wikipedia"
"siwiki",0.997393651826258,0.000708451214770588,0.00147623017761765,0.00033953215458577,8.21346267682737e-05,"siwiki","Wikipedia"
"skwiki",0.0141638995300743,0.614725734118817,0.352611095046565,0.0169424185579193,0.00155685274662485,"skwiki","Wikipedia"
"skwikibooks",0.997894736842105,0.000526315789474043,0.000526315789473837,0.00052631578947369,0.000526315789473707,"skwikibooks","Wikibooks"
"skwikiquote",0.934053279850222,0.0348061860606603,0.00263069222445756,0.00193367469622272,0.0265761671684373,"skwikiquote","Wikiquote"
"slwiki",0.032557424319946,0.856642781713431,0.107712150819706,0.000784547576995174,0.00230309556992213,"slwiki","Wikipedia"
"slwikiquote",0.648727708939653,0.259322466488229,0.0293377389823926,0.0578187125850822,0.00479337300464308,"slwikiquote","Wikiquote"
"smwiki",0.971603876837648,0.0135799016758704,0.00504419332807418,0.00911537004617763,0.000656658112229947,"smwiki","Wikipedia"
"snwiki",0.844121810133383,0.00200966161708031,0.151434569477739,0.0021946145175678,0.000239344254229622,"snwiki","Wikipedia"
"sowiki",0.986862128806311,0.00179674292771562,0.000926479753163407,0.0004661063419857,0.00994854217082419,"sowiki","Wikipedia"
"specieswiki",0.00355292351383615,0.259190340655717,0.730759495047668,0.00564762231143894,0.000849618471339544,"specieswiki","Other"
"sqwiki",0.216351578037079,0.782581893601299,0.00073435368503176,0.000285676485738787,4.64981908513487e-05,"sqwiki","Wikipedia"
"srnwiki",0.944059816811749,0.013347549263609,0.0356743015214932,0.00581064106208517,0.00110769134106336,"srnwiki","Wikipedia"
"srwiki",0.0545032417420242,0.551849332576047,0.391951694031066,0.000557126894742082,0.00113860475612153,"srwiki","Wikipedia"
"srwikibooks",0.915584096151268,0.0700669766759497,0.00913611896650296,0.00308836936415955,0.00212443884211947,"srwikibooks","Wikibooks"
"srwikiquote",0.997894736842105,0.000526315789473783,0.000526315789473684,0.000526315789473684,0.000526315789473686,"srwikiquote","Wikiquote"
"sswiki",0.774704720239532,0.00651632579469531,0.175407330918213,0.0402139285790648,0.00315769446849484,"sswiki","Wikipedia"
"stqwiki",0.0440458978909303,0.930827030229466,0.00144500418835854,0.0235541798260668,0.000127887865178567,"stqwiki","Wikipedia"
"stwiki",0.983973565036136,0.00711882774165869,0.00131972928217908,0.00721448222654106,0.000373395713484979,"stwiki","Wikipedia"
"suwiki",0.993694555368603,0.000501292582083485,0.000601973646588552,0.0051588334709015,4.33449318235713e-05,"suwiki","Wikipedia"
"svwiki",0.00386988008698398,0.278730640350371,0.703547292865049,0.0129958069604484,0.000856379737147141,"svwiki","Wikipedia"
"svwikibooks",0.997894736842105,0.000526315789474021,0.000526315789473684,0.000526315789473687,0.000526315789473695,"svwikibooks","Wikibooks"
"swwiki",0.624736177739555,0.00239299105313093,0.372451557776063,0.000370304091555176,4.89693396959688e-05,"swwiki","Wikipedia"
"szlwiki",0.65273505234491,0.341607582971714,0.00171724791492331,0.00371056766812225,0.00022954910033046,"szlwiki","Wikipedia"
"tawiki",0.725790320974767,0.00141664879537383,0.272292375076799,0.000475527366406965,2.51277866538723e-05,"tawiki","Wikipedia"
"tawikibooks",0.997894736842105,0.000526315789473801,0.000526315789473898,0.00052631578947369,0.000526315789473705,"tawikibooks","Wikibooks"
"tawikiquote",0.997894736842105,0.000526315789473934,0.000526315789473684,0.000526315789473703,0.00052631578947369,"tawikiquote","Wikiquote"
"tawikisource",0.997894736842105,0.00052631578947376,0.000526315789474116,0.000526315789473695,0.000526315789473729,"tawikisource","Wikisource"
"tcywiki",0.997023467722417,0.00122724381162025,0.00135979844931884,0.000263619717495059,0.00012587029914912,"tcywiki","Wikipedia"
"test2wiki",0.417392795187143,0.537773995245057,0.0352053596656249,0.00566586312006229,0.00396198678211249,"test2wiki","Wikipedia"
"testwiki",0.598557813288776,0.370106409338065,0.015264718279194,0.0116468894432798,0.00442416965068484,"testwiki","Wikipedia"
"testwikidatawiki",0.938771415123335,0.0124707608355363,0.0292896468117378,0.017713528130713,0.00175464909867787,"testwikidatawiki","Other"
"tetwiki",0.942958921363891,0.0114309035034685,0.0080608262080016,0.0365803453454757,0.000969003579163191,"tetwiki","Wikipedia"
"tewiki",0.994160859117726,0.00187571518720461,0.00116559808388138,0.00275854077011361,3.92868410741264e-05,"tewiki","Wikipedia"
"tewikiquote",0.947030626303737,0.0328112660754849,0.000399094920636897,0.0189781496990797,0.000780863001061329,"tewikiquote","Wikiquote"
"tgwiki",0.488421190050847,0.502321834727884,0.000555779777837516,0.00863152912780566,6.96663156259168e-05,"tgwiki","Wikipedia"
"thwiki",0.381111613282488,0.00137114220266847,0.614795913064744,0.000188388755007959,0.00253294269509188,"thwiki","Wikipedia"
"thwikibooks",0.969541124021188,0.0217862736619691,0.00658068262968251,0.000903954840932335,0.00118796484622857,"thwikibooks","Wikibooks"
"thwikisource",0.000526315789474354,0.000526315789474047,0.997894736842104,0.000526315789473711,0.000526315789473795,"thwikisource","Wikisource"
"tiwiki",0.889722216195826,0.0824472073601481,0.00415849417148465,0.0227872060276736,0.000884876244866926,"tiwiki","Wikipedia"
"tkwiki",0.4215107711212,0.553155387138248,0.023028321141458,0.00181444849610867,0.000491072102986092,"tkwiki","Wikipedia"
"tlwiki",0.594019221688294,0.133505451598805,0.241521857318819,0.0309524227393143,1.04665476778687e-06,"tlwiki","Wikipedia"
"tlwikibooks",0.997894736842104,0.00052631578947455,0.000526315789473796,0.000526315789473801,0.000526315789473714,"tlwikibooks","Wikibooks"
"tnwiki",0.960039193986923,0.0345250925708702,0.00339592027500941,0.000942427095064475,0.00109736607213339,"tnwiki","Wikipedia"
"towiki",0.824731251642193,0.00387387997872247,0.170113201771105,0.00112712200969045,0.000154544598289494,"towiki","Wikipedia"
"tpiwiki",0.959973625719994,0.00690635693003005,0.00557788778551483,0.026986839108148,0.000555290456312825,"tpiwiki","Wikipedia"
"trwiki",0.0131723916657776,0.466132901215738,0.517885130813963,0.00158929579405919,0.00122028051046199,"trwiki","Wikipedia"
"trwikiquote",0.956867407884723,0.00531702800214836,0.00188438607880707,0.0356032725988206,0.000327905435500932,"trwikiquote","Wikiquote"
"tswiki",0.969190056424129,0.010367872405371,0.00722854429585964,0.0123521010595979,0.000861425815042084,"tswiki","Wikipedia"
"ttwiki",0.00527787994024242,0.991018708030845,0.000919307556358024,0.00273960527379463,4.44991987602889e-05,"ttwiki","Wikipedia"
"ttwikibooks",0.0535329046123223,0.919572724300613,0.02135607612583,0.00125493174037109,0.00428336322086344,"ttwikibooks","Wikibooks"
"tumwiki",0.961941140389855,0.00519101473447286,0.0276390117487885,0.00448513909331398,0.000743694033569324,"tumwiki","Wikipedia"
"tyvwiki",0.0765242441868787,0.922390816698991,0.000579340843005307,0.000359178708265013,0.000146419562860285,"tyvwiki","Wikipedia"
"tywiki",0.988472757951442,0.00555539315285643,0.00533480387536061,6.38789937518144e-05,0.000573166026588832,"tywiki","Wikipedia"
"udmwiki",0.165553987421312,0.555433246890471,0.278899977297256,4.93611129169228e-05,6.34272780442627e-05,"udmwiki","Wikipedia"
"ugwiki",0.951798778113379,0.0294015797818272,0.00861606987808215,0.000257362478616839,0.00992620974809488,"ugwiki","Wikipedia"
"ukwiki",0.00210253171924047,0.339268715714055,0.650838171840531,0.00688889713979303,0.000901683586379895,"ukwiki","Wikipedia"
"ukwikiquote",0.841652737746714,0.152479887658987,0.00236283768848578,0.00314146884755147,0.000363068058261216,"ukwikiquote","Wikiquote"
"urwiki",0.99261816824116,0.00330395344264518,0.000951359341658647,0.000398633218690348,0.00272788575584572,"urwiki","Wikipedia"
"urwikiquote",0.997894736842105,0.000526315789473783,0.000526315789473684,0.000526315789473684,0.000526315789473686,"urwikiquote","Wikiquote"
"uzwiki",0.104576183390175,0.892172582291685,0.00195127367496709,0.00129544839484086,4.51224833220893e-06,"uzwiki","Wikipedia"
"vecwiki",0.148334493702456,0.83675300997702,0.000414858380313521,0.000520028116584065,0.0139776098236259,"vecwiki","Wikipedia"
"vepwiki",0.033985463226409,0.965213731345282,0.000430399458877338,0.000298630642016471,7.17753274154653e-05,"vepwiki","Wikipedia"
"vewiki",0.919952594037988,0.0140060018577569,0.00679498710203117,0.0583810737349028,0.000865343267320756,"vewiki","Wikipedia"
"viwiki",0.0158715897950637,0.255873524936882,0.727053620205029,0.000276493215224085,0.000924771847802003,"viwiki","Wikipedia"
"vlswiki",0.075949152321912,0.908712258511139,0.00064611828816563,0.0111038527573696,0.00358861812141409,"vlswiki","Wikipedia"
"vowiki",0.0670196626334227,0.00799368917158234,0.921507510552968,0.00263150854336847,0.000847629098658693,"vowiki","Wikipedia"
"warwiki",0.00810662042194081,0.273264746676476,0.717514964223842,0.000104577680529817,0.00100909099721141,"warwiki","Wikipedia"
"wawiki",0.00955482357110154,0.986005359692298,0.000374971402870471,0.00106977540168703,0.00299506993204345,"wawiki","Wikipedia"
"wikidatawiki",0.894035616610776,3.3182061450725e-05,2.49020246277081e-05,0.0978354805421458,0.00807081876100009,"wikidatawiki","Other"
"wowiki",0.881111783390348,0.00539133967990043,0.020813312300042,0.0916159986758888,0.00106756595382104,"wowiki","Wikipedia"
"wuuwiki",0.98899684955274,0.00678834448682696,0.00174519624874425,0.00225904208482254,0.000210567626866387,"wuuwiki","Wikipedia"
"xalwiki",0.911999599744894,0.0826925088693145,0.000613277143054389,0.00435483997437525,0.000339774268362223,"xalwiki","Wikipedia"
"xhwiki",0.959044635082327,0.0332191963399153,0.0039774886837733,0.00306626399915145,0.000692415894832462,"xhwiki","Wikipedia"
"xmfwiki",0.623927533843293,0.35838895669176,0.00119003048773957,0.0163680783396198,0.000125400637587568,"xmfwiki","Wikipedia"
"yiwiki",0.991129721412459,0.00420390569709246,0.00077427588888981,0.00381271577897316,7.93812225859401e-05,"yiwiki","Wikipedia"
"yowiki",0.94156798553053,0.00651250469198059,0.0204897900647195,0.0310970008230487,0.000332718889720685,"yowiki","Wikipedia"
"zawiki",0.995536379756887,0.0026560975887715,0.000876422735406727,0.000837539424987226,9.35604939473014e-05,"zawiki","Wikipedia"
"zeawiki",0.0247510338917137,0.590798499890299,0.24094529744452,0.143289714965377,0.000215453808089164,"zeawiki","Wikipedia"
"zh_classicalwiki",0.981580636169747,0.00884237169543149,0.00846523711505398,0.000740822028096514,0.00037093299167144,"zh_classicalwiki","Wikipedia"
"zh_min_nanwiki",0.987884432872606,0.00140268838479128,0.00339742749153072,0.00482223278514912,0.00249321846592337,"zh_min_nanwiki","Wikipedia"
"zh_yuewiki",0.627412781284542,0.197679768793348,0.173500348275244,9.80478742076431e-05,0.00130905377265877,"zh_yuewiki","Wikipedia"
"zhwiki",0.010768406787654,0.28755512822333,0.695110224721656,0.00558958307138023,0.000976657195980318,"zhwiki","Wikipedia"
"zhwikibooks",0.997894736842105,0.000526315789473783,0.000526315789473684,0.000526315789473684,0.000526315789473686,"zhwikibooks","Wikibooks"
"zhwikinews",0.997894736842104,0.000526315789473762,0.000526315789474245,0.000526315789473705,0.000526315789473761,"zhwikinews","Wikinews"
"zhwikiquote",0.000526315789474283,0.997894736842105,0.000526315789473684,0.000526315789473696,0.000526315789473707,"zhwikiquote","Wikiquote"
"zuwiki",0.979567959632046,0.00405772443774752,0.0143935172935202,0.0014898439963976,0.000490954640288788,"zuwiki","Wikipedia"
